FIRE_CAUSE,LATITUDE,LONGITUDE,SIZE_HA,Year,Month,Weather City,Region Name,Region Number,Region Area,Lightning Dummy
Person,49.4682,-115.6733,0.04,2007,09,Sparwood,East Kootenay,1.0,2754184.0,0
Lightning,49.545,-121.3935,0.1,2004,07,Whistler,Fraser Valley,9.0,1333528.0,1
Lightning,49.3485,-116.7889,10.8,2006,07,Nakusp,Central Kootenay,3.0,2209494.0,1
Person,55.7595,-124.842,1110.0,2018,07,Smithers,Bulkley-Nechako + Stikine,51.0,19202453.0,0
Lightning,52.0131,-120.8728,0.009,2002,08,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,49.8917,-123.2033,0.7000000000000001,2010,07,Whistler,Squamish-Lillooet,31.0,1631162.0,1
Lightning,54.0285,-121.6728,0.01,2007,07,Prince George,Fraser-Fort George,53.0,5067610.0,1
Lightning,51.0093,-120.5575,0.2,2006,08,Penticton,Thompson-Nicola,33.0,4444942.0,1
Person,52.383300000000006,-121.1667,0.009,2003,07,Williams Lake,Cariboo,41.0,8060975.0,0
Person,49.7016,-123.5528,0.2,2007,05,Vancouver,Sunshine Coast,29.0,377373.0,0
Lightning,58.233700000000006,-121.8737,2.3000000000000003,2019,07,Fort Nelson,Northern Rockies,59.0,8511107.0,1
Lightning,51.333400000000005,-118.8764,0.009,2013,08,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Lightning,50.9778,-120.4137,3.2,2018,08,Penticton,Thompson-Nicola,33.0,4444942.0,1
Lightning,58.840700000000005,-122.0109,0.1,2015,05,Fort Nelson,Northern Rockies,59.0,8511107.0,1
Lightning,50.7198,-118.3583,0.009,2013,08,Nakusp,North Okanagan,37.0,750260.0,1
Lightning,49.381,-122.3703,0.009,2004,08,Vancouver,Fraser Valley,9.0,1333528.0,1
Lightning,52.6384,-122.342,1.4,2006,07,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,51.7167,-117.477,14.0,2006,07,Golden,Columbia-Shuswap,39.0,2892919.0,1
Person,50.486900000000006,-119.83,0.009,2017,07,Penticton,Thompson-Nicola,33.0,4444942.0,0
Person,54.7592,-123.356,1.5,2006,10,Prince George,Fraser-Fort George,53.0,5067610.0,0
Person,49.7308,-115.7178,0.009,2005,07,Sparwood,East Kootenay,1.0,2754184.0,0
Person,48.7633,-123.8533,0.1,2002,06,Vancouver,Cowichan Valley,19.0,347452.0,0
Lightning,52.1619,-119.6104,0.009,2009,08,Williams Lake,Thompson-Nicola,33.0,4444942.0,1
Person,55.6831,-121.2073,0.74,2012,06,Dawson Creek,Peace River,55.0,11738755.0,0
Lightning,50.502100000000006,-120.8805,0.06,2013,08,Penticton,Thompson-Nicola,33.0,4444942.0,1
Person,52.0096,-123.1894,0.009,2003,07,Williams Lake,Cariboo,41.0,8060975.0,0
Person,50.2663,-121.403,0.01,2008,07,Whistler,Thompson-Nicola,33.0,4444942.0,0
Lightning,49.4528,-120.7758,0.009,2003,08,Penticton,Okanagan-Similkameen,7.0,1041168.0,1
Lightning,54.9909,-127.3815,0.2,2019,06,Smithers,Bulkley-Nechako + Stikine,51.0,19202453.0,1
Lightning,51.892700000000005,-123.4367,0.5,2010,07,Williams Lake,Cariboo,41.0,8060975.0,1
Person,52.2637,-122.1105,0.009,2012,09,Williams Lake,Cariboo,41.0,8060975.0,0
Person,49.3367,-122.3191,1.8,2012,09,Vancouver,Fraser Valley,9.0,1333528.0,0
Lightning,51.1864,-121.5081,0.009,2013,08,Williams Lake,Thompson-Nicola,33.0,4444942.0,1
Person,52.1,-121.8183,0.009,2001,10,Williams Lake,Cariboo,41.0,8060975.0,0
Lightning,52.657500000000006,-122.3973,0.2,2002,07,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,50.8804,-119.7531,0.01,2008,08,Penticton,Thompson-Nicola,33.0,4444942.0,1
Lightning,51.4528,-118.4772,0.009,2013,08,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Lightning,49.8492,-119.3053,0.009,2019,07,Penticton,Central Okanagan,35.0,290486.0,1
Lightning,50.7728,-121.3775,0.33,2017,06,Williams Lake,Thompson-Nicola,33.0,4444942.0,1
Lightning,53.03,-122.8079,0.009,2013,08,Prince George,Cariboo,41.0,8060975.0,1
Lightning,52.624300000000005,-120.2696,0.009,2013,08,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,55.5856,-126.9394,0.15,2018,07,Smithers,Bulkley-Nechako + Stikine,51.0,19202453.0,1
Person,49.0813,-119.5156,7.7,2011,08,Penticton,Okanagan-Similkameen,7.0,1041168.0,0
Lightning,56.3196,-122.0384,5.7,2010,07,Dawson Creek,Peace River,55.0,11738755.0,1
Person,55.1058,-128.0524,0.9,2009,07,Smithers,Kitimat-Stikine,49.0,10446461.0,0
Lightning,52.2139,-119.2353,5.0,2004,08,Golden,Thompson-Nicola,33.0,4444942.0,1
Lightning,51.765,-120.4704,0.009,2015,05,Williams Lake,Cariboo,41.0,8060975.0,1
Person,50.624300000000005,-127.5597,0.2,2009,06,Port Hardy,Mount Waddington,43.0,2024427.0,0
Lightning,49.9741,-120.0176,0.009,2010,07,Penticton,Thompson-Nicola,33.0,4444942.0,1
Person,54.8858,-128.7414,0.009,2012,09,Smithers,Kitimat-Stikine,49.0,10446461.0,0
Unknown,50.2053,-119.2793,0.009,2015,07,Penticton,North Okanagan,37.0,750260.0,0
